Beer,beer/,,,,,,,,,,,,,,,,
Sake,sake/,,,,,,,,,,,,,,,,
Brandy,brandy/,,,,,,,,,,,,,,,,
Champagne & Sparkling Wines,champagne/,,,,,,,,,,,,,,,,
Gin,gin/,,,,,,,,,,,,,,,,
Liqueurs,liqueurs/,,,,,,,,,,,,,,,,
Rum,rum/,,,,,,,,,,,,,,,,
Tequila,tequila/,,,,,,,,,,,,,,,,
Whisky,whisky/,,,,,,,,,,,,,,,,
Wine & Fortified Wine,wine/,,,,,,,,,,,,,,,,
Shots,shooters/,,,,,,,,,,,,,,,,
Beauty Spot,beauty_spot.txt,10029,10053,10232,10186,,,,,,,,,,,,
Bella Bella,bella_bella.txt,10029,10046,10080,10091,10151,10250,,,,,,,,,,
Blue Monday,blue_monday.txt,10029,10093,10088,10118,,,,,,,,,,,,
Boston Cocktail,boston_cocktail.txt,10029,10022,10145,10186,,,,,,,,,,,,
Bramble,bramble.txt,10246,10222,10146,10029,10076,10118,10250,,,,,,,,,
Bronx Cocktail,bronx_cocktail.txt,10029,10359,10361,10151,10257,,,,,,,,,,,
Capri Cocktail,capri_cocktail.txt,10029,10080,10314,10144,10149,,,,,,,,,,,
Caribbean Sunset,caribbean_sunset.txt,10029,10074,10088,10145,10135,10186,10257,10252,,,,,,,,
Chelsea Sidecar,chelsea_sidecar.txt,10249,10029,10093,10145,,,,,,,,,,,,
Cherry Cobbler,cherry_cobbler.txt,10029,10078,10062,10145,10193,10118,10249,10252,10268,,,,,,,
Classic Gimlet,classic_gimlet.txt,10029,10147,10250,,,,,,,,,,,,,
Classic Martini,classic_martini.txt,10029,10359,10256,,,,,,,,,,,,,
Classic Negroni,classic_negroni.txt,10029,10046,10361,10118,,,,,,,,,,,,
Coco Chanel,coco_chanel.txt,10029,10056,10135,,,,,,,,,,,,,
Contemporary Gimlet,contemporary_gimlet.txt,10029,10147,10250,,,,,,,,,,,,,
Costa del Sol,costa_del_sol.txt,10029,10093,10022,,,,,,,,,,,,,
Crimson,crimson.txt,10029,10145,10186,10367,,,,,,,,,,,,
Dawn,dawn.txt,10029,10046,10151,10257,,,,,,,,,,,,
Death in the Gulf Stream,death_in_the_gulf_stream.txt,10029,10146,10226,10011,10250,,,,,,,,,,,
Delmonico Number 1,delmonico_number_1.txt,10029,10014,10361,10359,10011,10257,,,,,,,,,,
Desert Healer Cocktail,desert_healer_cocktail.txt,10029,10024,10151,10121,10257,,,,,,,,,,,
Dirty Martini,dirty_martini.txt,10029,10359,10256,10164,,,,,,,,,,,,
Dolomint,dolomint.txt,10029,10105,10146,10118,10268,,,,,,,,,,,
Dry Martini,dry_martini.txt,10029,10359,10249,,,,,,,,,,,,,
Extra-Dry Martini,extra_dry_martini.txt,10029,10358,10256,,,,,,,,,,,,,
Fino Martini,fino_martini.txt,10029,10369,10249,,,,,,,,,,,,,
Flamingo,flamingo.txt,10029,10022,10146,10186,,,,,,,,,,,,
Florida,florida.txt,10029,10017,10092,10151,10145,10257,,,,,,,,,,
foghorn,foghorn.txt,10029,10146,10120,10250,,,,,,,,,,,,
Gibson,gibson.txt,10029,10359,10279,,,,,,,,,,,,,
Gin and Sin,gin_and_sin.txt,10029,10151,10145,10186,,,,,,,,,,,,
Gin and Tonic,gin_and_tonic.txt,10029,10125,10250,,,,,,,,,,,,,
Gin Fizz,gin_fizz.txt,10029,10145,10222,10118,,,,,,,,,,,,
Gin Julep,gin_julep.txt,10267,10146,10145,10222,10029,10268,,,,,,,,,,
Gin Rickey,gin_rickey.txt,10029,10146,10118,10250,,,,,,,,,,,,
Gin Sling,gin_sling.txt,10029,10093,10145,10118,10249,,,,,,,,,,,
Gold Martini,gold_martini.txt,10029,10335,10093,10014,10215,10216,,,,,,,,,,
Golden Dawn,golden_dawn.txt,10029,10022,10021,10151,10186,,,,,,,,,,,
Grass Skirt,grass_skirt.txt,10029,10093,10154,10186,,,,,,,,,,,,
Green Devil,green_devil.txt,10029,10063,10146,10118,,,,,,,,,,,,
Guggenheim,guggenheim.txt,10029,10014,10093,,,,,,,,,,,,,
Honolulu,honolulu.txt,10029,10090,10146,10151,10249,,,,,,,,,,,
Imperial Gin,imperial_gin.txt,10029,10145,10146,10118,10249,,,,,,,,,,,
Jamaica Glow,jamaica_glow.txt,10029,10372,10288,10151,,,,,,,,,,,,
Jet Black,jet_black.txt,10029,10361,10044,,,,,,,,,,,,,
Jewel of the Nile,jewel_of_the_nile.txt,10029,10048,10049,,,,,,,,,,,,,
Jockey Club,jockey_club.txt,10029,10033,10065,10145,,,,,,,,,,,,
Juniper Royale,juniper_royale.txt,10029,10151,10142,10186,10378,,,,,,,,,,,
Jupiter Cocktail,jupiter_cocktail.txt,10029,10359,10109,10151,,,,,,,,,,,,
Key Lime Martini,key_lime_martini.txt,10250,10222,10029,10114,10146,10226,10250,,,,,,,,,
Knickerbocker,knickerbocker.txt,10029,10359,10361,10249,,,,,,,,,,,,
Kyoto Cocktail,kyoto_cocktail.txt,10029,10359,10084,10145,,,,,,,,,,,,
Lady Diana,lady_diana.txt,10029,10046,10146,10193,10250,,,,,,,,,,,
L'Amour,lamour.txt,10029,10024,10186,10145,10268,,,,,,,,,,,
Maidens Prayer,maidens_prayer.txt,10029,10093,10145,10151,10257,,,,,,,,,,,
Mandarine Martini,mandarine_martini.txt,10091,10093,10029,10331,10257,,,,,,,,,,,
Martinez,martinez.txt,10029,10361,10083,,,,,,,,,,,,,
Milano,milano.txt,10029,10105,10145,,,,,,,,,,,,,
Monkey Gland,monkey_gland.txt,10029,10151,10045,10186,,,,,,,,,,,,
Moonshot,moonshot.txt,10029,10138,10176,,,,,,,,,,,,,
Naked Martini,naked_martini.txt,10029,10256,,,,,,,,,,,,,,
Negroni Cocktail,negroni_cocktail.txt,10029,10046,10361,10118,,,,,,,,,,,,
Orange Blossom,orange_blossom.txt,10029,10151,10093,10166,10257,,,,,,,,,,,
Orchid,orchid.txt,10249,10222,10029,10033,10114,10109,10145,,,,,,,,,
Oriental,oriental.txt,10029,10096,10080,10249,,,,,,,,,,,,
Pall Mall,pall_mall.txt,10029,10359,10361,10065,10011,,,,,,,,,,,
Parisian Cocktail,parisian_cocktail.txt,10029,10062,10359,,,,,,,,,,,,,
Passion Cocktail,passion_cocktail.txt,10096,10029,10249,,,,,,,,,,,,,
Perfect Martini,perfect_martini.txt,10029,10359,10361,10257,,,,,,,,,,,,
Picasso Martini,picasso_martini.txt,10029,10359,,,,,,,,,,,,,,
Pink Gin ,pink_gin.txt,10011,10029,10249,,,,,,,,,,,,,
Pink Martini,pink_martini.txt,10029,10159,10151,10257,,,,,,,,,,,,
Pink Pamplemousse,pink_pamplemousse.txt,10029,10091,10144,10249,,,,,,,,,,,,
Ramos Gin Fizz,ramos_gin_fizz.txt,10029,10145,10146,10166,10232,10135,10226,10118,10249,,,,,,,
Rocco,rocco.txt,10029,10046,10091,10151,10140,,,,,,,,,,,
Rondezvous,rondezvous.txt,10029,10017,10046,10249,,,,,,,,,,,,
Rose Martini,rose_martini.txt,10029,10093,10173,10271,,,,,,,,,,,,
Seville,seville.txt,10029,10369,10151,10145,10222,,,,,,,,,,,
Silver Bullet,silver_bullet.txt,10029,10107,10145,10249,,,,,,,,,,,,
Singapore Sling,singapore_sling.txt,10029,10024,10045,10093,10151,10146,10118,10260,10257,10252,,,,,,
Smoky Martini,smoky_martini.txt,10029,10349,10359,10249,,,,,,,,,,,,
Tasmanian Twister Cocktail,tasmanian_twister_cocktail.txt,10029,10046,10361,10144,10257,,,,,,,,,,,
Tom Collins,tom_collins.txt,10029,10145,10193,10118,10249,10252,,,,,,,,,,
Venus,venus.txt,10029,10093,10193,10013,10261,,,,,,,,,,,
Vesper Martini,vesper_martini.txt,10029,10331,10357,10257,,,,,,,,,,,,
#Liqueurs,,,,,,,,,,,,,,,,,
Alabama Slammer,alabama_slammer.txt,10113,10032,10112,10145,10252,10249,,,,,,,,,,
Alfonso Special Cocktail,alfonso_special_cocktail.txt,10094,10029,10359,10361,10011,,,,,,,,,,,
Amaretto Alexander,amaretto_alexander.txt,10032,10053,10135,,,,,,,,,,,,,
Amaretto Sour,amaretto_sour.txt,10032,10145,10252,,,,,,,,,,,,,
Angel's Blush,angels_blush.txt,10083,10060,10045,10135,,,,,,,,,,,,
Angel's Kiss,angels_kiss.txt,10051,10060,10014,10135,,,,,,,,,,,,
Angel's Tit,angels_tit.txt,10053,10135,10252,,,,,,,,,,,,,
B-52,b52.txt,10056,10058,10094,,,,,,,,,,,,,
B&B,b_b.txt,10045,10015,,,,,,,,,,,,,,
Banshee,banshee.txt,10053,10074,10135,,,,,,,,,,,,,
Blue Angel,blue_angel.txt,10089,10014,10109,10135,10145,,,,,,,,,,,
Bocci Ball,bocci_ball.txt,10032,10151,10118,10257,,,,,,,,,,,,
Buttered Toffee,buttered_toffee.txt,10032,10059,10057,10135,,,,,,,,,,,,
Butterfinger,butterfinger.txt,10310,10059,10136,10183,,,,,,,,,,,,
Cafe Romano,cafe_romano.txt,10043,10056,10135,,,,,,,,,,,,,
Chocolate Almond,chocolate_almond.txt,10032,10059,10052,,,,,,,,,,,,,
Death by Chocolate,death_by_chocolate.txt,10059,10052,10331,10240,10205,,,,,,,,,,,
Dreamsicle,dreamsicle.txt,10032,10088,10338,10151,10135,,,,,,,,,,,
Duchess,duchess.txt,10042,10359,10361,,,,,,,,,,,,,
Fifth Avenue,fifth_avenue.txt,10051,10022,10135,,,,,,,,,,,,,
Fourth of July,fourth_of_july.txt,10186,10093,10089,,,,,,,,,,,,,
French Tricolor,french_tricolor.txt,10186,10083,10060,,,,,,,,,,,,,
Golden Cadillac,golden_cadillac.txt,10053,10105,10135,,,,,,,,,,,,,
Grasshopper,grasshopper.txt,10064,10053,10135,,,,,,,,,,,,,
Hairy Navel,hairy_navel.txt,10314,10331,10151,10257,10259,,,,,,,,,,,
Havana Rainbow,havana_rainbow.txt,10186,10038,10109,10064,10049,,,,,,,,,,,
Jersy Lilly,jersey_lily.txt,10048,10015,10011,,,,,,,,,,,,,
