Beer,beer/,,,,,,,,,,
Sake,sake/,,,,,,,,,,
Brandy,brandy/,,,,,,,,,,
Champagne & Sparkling Wines,champagne_and_sparkling_wine/,,,,,,,,,,
Gin,gin/,,,,,,,,,,
Liqueurs,liqueurs/,,,,,,,,,,
#Beer Drinks,,,,,,,,,,,
Crimson,crimson.txt,10028,10144,10185,10366,,,,,,
Dawn,dawn.txt,10028,10045,10150,10256,,,,,,
Death in the Gulf Stream,death_in_the_gulf_stream.txt,10028,10145,10225,10011,10249,,,,,
Delmonico Number 1,delmonico_number_1.txt,10028,10013,10360,10358,10011,10256,,,,
Desert Healer Cocktail,desert_healer_cocktail.txt,10028,10023,10150,10120,10256,,,,,
Dirty Martini,dirty_martini.txt,10028,10358,10255,10163,,,,,,
Dolomint,dolomint.txt,10028,10104,10145,10117,10267,,,,,
Dry Martini,dry_martini.txt,10028,10358,10248,,,,,,,
Extra-Dry Martini,extra_dry_martini.txt,10028,10357,10255,,,,,,,
Fino Martini,fino_martini.txt,10028,10368,10248,,,,,,,
Flamingo,flamingo.txt,10028,10021,10145,10185,,,,,,
Florida,florida.txt,10028,10016,10091,10150,10144,10256,,,,
foghorn,foghorn.txt,10028,10145,10119,10249,,,,,,
Gibson,gibson.txt,10028,10358,10278,,,,,,,
Gin and Sin,gin_and_sin.txt,10028,10150,10144,10185,,,,,,
Gin and Tonic,gin_and_tonic.txt,10028,10124,10249,,,,,,,
Gin Fizz,gin_fizz.txt,10028,10144,10221,10117,,,,,,
Gin Julep,gin_julep.txt,10266,10145,10144,10221,10028,10267,,,,
Gin Rickey,gin_rickey.txt,10028,10145,10117,10249,,,,,,
Gin Sling,gin_sling.txt,10028,10092,10144,10117,10248,,,,,
Gold Martini,gold_martini.txt,10028,10334,10092,10013,10214,10215,,,,
Golden Dawn,golden_dawn.txt,10028,10021,10020,10150,10185,,,,,
Grass Skirt,grass_skirt.txt,10028,10092,10153,10185,,,,,,
Green Devil,green_devil.txt,10028,10062,10145,10117,,,,,,
Guggenheim,guggenheim.txt,10028,10013,10092,,,,,,,
Honolulu,honolulu.txt,10028,10089,10145,10150,10248,,,,,
Imperial Gin,imperial_gin.txt,10028,10144,10145,10117,10248,,,,,
Jamaica Glow,jamaica_glow.txt,10028,10371,10287,10150,,,,,,
Jet Black,jet_black.txt,10028,10360,10043,,,,,,,
Jewel of the Nile,jewel_of_the_nile.txt,10028,10047,10048,,,,,,,
Jockey Club,jockey_club.txt,10028,10032,10064,10144,,,,,,
Juniper Royale,juniper_royale.txt,10028,10150,10141,10185,10377,,,,,
Jupiter Cocktail,jupiter_cocktail.txt,10028,10358,10108,10150,,,,,,
Key Lime Martini,key_lime_martini.txt,10249,10221,10028,10113,10145,10225,10249,,,
Knickerbocker,knickerbocker.txt,10028,10358,10360,10248,,,,,,
Kyoto Cocktail,kyoto_cocktail.txt,10028,10358,10083,10144,,,,,,
Lady Diana,lady_diana.txt,10028,10045,10145,10192,10249,,,,,
L'Amour,lamour.txt,10028,10023,10185,10144,10267,,,,,
Maidens Prayer,maidens_prayer.txt,10028,10092,10144,10150,10256,,,,,
Mandarine Martini,mandarine_martini.txt,10090,10092,10028,10330,10256,,,,,
